BLUE_LINE
329,114
353,90
353,59
370,38
398,38
419,71
419,102
419,131
419,162
419,192
419,222
419,253
419,283
419,312
419,342
419,374
421,403
419,435
419,465
419,495
419,525
419,555
434,585
464,615
493,646
###

RED_LINE
601,72
601,102
577,117
545,117
512,117
481,117
449,118
417,132
418,162
418,193
417,223
417,251
419,283
419,313
420,343
417,373
419,403
387,429
365,449
345,471
322,493
301,513
280,535
259,555
237,577
216,599
###

GREEN_LINE
211,329
232,306
252,287
294,269
418,253
418,223
418,192
418,162
418,131
418,102
418,71
397,38
370,39
325,40
273,42
242,41
211,41
181,42
151,26
###

FRONTRUNNER
325,40
326,114
413,373
405,555
404,591
404,627
404,662
404,697
###

S_LINE
423,253
471,268
501,268
531,268
561,269
591,268
621,268
###
